Kategorie: Alle Kategorien

Region,Donald Trump: (29.05.16 bis 29.05.16),Hillary Clinton: (29.05.16 bis 29.05.16)
Wyoming,76%,24%
North Dakota,64%,36%
New Mexico,48%,52%
Alaska,76%,24%
Iowa,73%,27%
Connecticut,71%,29%
Vermont,50%,50%
Virginia,67%,33%
Maryland,65%,35%
District of Columbia,67%,33%
Delaware,64%,36%
Rhode Island,58%,42%
California,62%,38%
New Jersey,63%,37%
Idaho,70%,30%
Illinois,62%,38%
South Dakota,100%,
Pennsylvania,64%,36%
Montana,51%,49%
Washington,62%,38%
West Virginia,62%,38%
Missouri,66%,34%
Ohio,69%,31%
New York,58%,42%
Oregon,69%,31%
Oklahoma,63%,37%
Nevada,64%,36%
Arkansas,73%,27%
Hawaii,65%,35%
New Hampshire,51%,49%
Minnesota,56%,44%
Tennessee,63%,37%
Florida,65%,35%
Colorado,67%,33%
Massachusetts,55%,45%
Maine,55%,45%
North Carolina,65%,35%
Wisconsin,68%,32%
Indiana,69%,31%
Texas,65%,35%
South Carolina,62%,38%
Michigan,51%,49%
Georgia,57%,43%
Kentucky,56%,44%
Louisiana,65%,35%
Arizona,69%,31%
Alabama,47%,53%
Nebraska,78%,22%
Kansas,61%,39%
Mississippi,51%,49%
Utah,61%,39%
