Kategorie: Alle Kategorien

Region,Donald Trump: (11.07.16 bis 11.07.16),Hillary Clinton: (11.07.16 bis 11.07.16)
Alaska,54%,46%
District of Columbia,65%,35%
West Virginia,79%,21%
Montana,43%,57%
New Jersey,71%,29%
Virginia,61%,39%
New Hampshire,29%,71%
Indiana,60%,40%
Georgia,66%,34%
New York,59%,41%
North Dakota,45%,55%
Illinois,65%,35%
Vermont,34%,66%
Pennsylvania,60%,40%
Maryland,63%,37%
Massachusetts,59%,41%
Connecticut,55%,45%
Hawaii,65%,35%
Tennessee,67%,33%
Utah,49%,51%
South Dakota,58%,42%
Ohio,55%,45%
Kansas,58%,42%
California,60%,40%
Maine,59%,41%
New Mexico,51%,49%
Oklahoma,52%,48%
Alabama,66%,34%
Washington,52%,48%
Michigan,60%,40%
Florida,61%,39%
Kentucky,51%,49%
Iowa,69%,31%
Missouri,54%,46%
Minnesota,62%,38%
Nebraska,67%,33%
Colorado,65%,35%
Arizona,62%,38%
South Carolina,37%,63%
Delaware,50%,50%
Wisconsin,54%,46%
Rhode Island,63%,37%
Texas,56%,44%
Louisiana,54%,46%
North Carolina,54%,46%
Mississippi,48%,52%
Oregon,50%,50%
Nevada,57%,43%
Wyoming,,100%
Idaho,34%,66%
Arkansas,50%,50%
