Kategorie: Alle Kategorien

Region,Donald Trump: (21.11.15 bis 21.11.15),Hillary Clinton: (21.11.15 bis 21.11.15)
New Hampshire,87%,13%
Rhode Island,75%,25%
Montana,81%,19%
West Virginia,84%,16%
Nebraska,83%,17%
Delaware,73%,27%
Alabama,93%,7%
Maine,83%,17%
Massachusetts,93%,7%
Georgia,93%,7%
Colorado,89%,11%
Pennsylvania,88%,12%
South Dakota,100%,
Missouri,88%,12%
New Jersey,95%,5%
North Dakota,100%,
Michigan,87%,13%
New York,88%,12%
District of Columbia,91%,9%
Illinois,90%,10%
North Carolina,86%,14%
Florida,93%,7%
Iowa,90%,10%
Virginia,90%,10%
Wisconsin,87%,13%
Ohio,89%,11%
Louisiana,80%,20%
Connecticut,90%,10%
Minnesota,78%,22%
Texas,91%,9%
Maryland,82%,18%
Tennessee,83%,17%
Kentucky,79%,21%
Mississippi,79%,21%
Oregon,87%,13%
New Mexico,76%,24%
Washington,82%,18%
Nevada,82%,18%
Indiana,83%,17%
Arkansas,54%,46%
California,86%,14%
Utah,100%,
Alaska,61%,39%
South Carolina,79%,21%
Arizona,87%,13%
Vermont,,100%
Hawaii,57%,43%
Idaho,68%,32%
Kansas,83%,17%
Oklahoma,76%,24%
Wyoming,,
