Kategorie: Alle Kategorien

Region,Donald Trump: (05.04.16 bis 05.04.16),Hillary Clinton: (05.04.16 bis 05.04.16)
Wisconsin,67%,33%
Wyoming,71%,29%
Nevada,82%,18%
New Hampshire,74%,26%
New Jersey,85%,15%
Alaska,85%,15%
Idaho,83%,17%
New York,72%,28%
Maine,73%,27%
Indiana,84%,16%
Nebraska,82%,18%
Arizona,83%,17%
Pennsylvania,73%,27%
Michigan,82%,18%
Rhode Island,74%,26%
Louisiana,84%,16%
Tennessee,73%,27%
Virginia,76%,24%
Maryland,78%,22%
West Virginia,70%,30%
Minnesota,81%,19%
Illinois,74%,26%
New Mexico,78%,22%
Iowa,78%,22%
Florida,80%,20%
Oregon,73%,27%
Texas,81%,19%
Massachusetts,73%,27%
California,74%,26%
District of Columbia,57%,43%
Vermont,60%,40%
Kansas,84%,16%
South Carolina,83%,17%
Ohio,74%,26%
Arkansas,83%,17%
Alabama,74%,26%
Kentucky,82%,18%
North Dakota,65%,35%
Georgia,79%,21%
Washington,71%,29%
Colorado,67%,33%
North Carolina,74%,26%
Missouri,84%,16%
Oklahoma,76%,24%
Hawaii,72%,28%
Utah,65%,35%
Connecticut,58%,42%
Mississippi,66%,34%
Montana,62%,38%
South Dakota,100%,
Delaware,56%,44%
