Kategorie: Alle Kategorien

Region,Donald Trump: (26.06.16 bis 26.06.16),Hillary Clinton: (26.06.16 bis 26.06.16)
Delaware,76%,24%
Maine,66%,34%
Utah,68%,32%
Idaho,66%,34%
Maryland,67%,33%
South Dakota,57%,43%
New Mexico,63%,37%
Indiana,67%,33%
West Virginia,57%,43%
Kansas,65%,35%
Pennsylvania,67%,33%
New Hampshire,60%,40%
Rhode Island,67%,33%
District of Columbia,56%,44%
New York,63%,37%
Alabama,71%,29%
Oklahoma,78%,22%
Vermont,43%,57%
Massachusetts,67%,33%
New Jersey,64%,36%
Minnesota,67%,33%
Montana,63%,37%
Florida,69%,31%
Arkansas,65%,35%
Virginia,68%,32%
Hawaii,38%,62%
Kentucky,70%,30%
California,64%,36%
Louisiana,67%,33%
Washington,59%,41%
Connecticut,65%,35%
Colorado,63%,37%
Iowa,58%,42%
Illinois,66%,34%
North Carolina,64%,36%
Arizona,79%,21%
Mississippi,66%,34%
Ohio,65%,35%
Michigan,60%,40%
Texas,67%,33%
Nevada,68%,32%
Georgia,58%,42%
Wisconsin,62%,38%
Tennessee,60%,40%
Wyoming,51%,49%
Alaska,100%,
Missouri,57%,43%
South Carolina,45%,55%
Oregon,52%,48%
Nebraska,58%,42%
North Dakota,50%,50%
