Kategorie: Alle Kategorien

Region,Donald Trump: (16.08.16 bis 16.08.16),Hillary Clinton: (16.08.16 bis 16.08.16)
Alaska,65%,35%
Vermont,27%,73%
Wisconsin,69%,31%
New Mexico,62%,38%
Hawaii,66%,34%
Arizona,67%,33%
Maine,32%,68%
Nevada,68%,32%
Connecticut,67%,33%
Colorado,61%,39%
Wyoming,43%,57%
Georgia,66%,34%
District of Columbia,56%,44%
Minnesota,77%,23%
Tennessee,58%,42%
Pennsylvania,62%,38%
Rhode Island,60%,40%
South Carolina,59%,41%
New Jersey,60%,40%
Florida,63%,37%
Louisiana,74%,26%
Kentucky,64%,36%
Virginia,69%,31%
North Carolina,58%,42%
Indiana,49%,51%
New York,64%,36%
Illinois,59%,41%
Ohio,59%,41%
California,63%,37%
Missouri,68%,32%
Massachusetts,55%,45%
Maryland,56%,44%
New Hampshire,53%,47%
North Dakota,100%,
Oregon,63%,37%
Washington,59%,41%
Alabama,74%,26%
Michigan,58%,42%
South Dakota,58%,42%
Arkansas,63%,37%
Kansas,62%,38%
West Virginia,71%,29%
Oklahoma,62%,38%
Delaware,38%,62%
Texas,59%,41%
Nebraska,65%,35%
Montana,100%,
Mississippi,61%,39%
Utah,40%,60%
Iowa,51%,49%
Idaho,51%,49%
