Kategorie: Alle Kategorien

Region,Donald Trump: (27.02.16 bis 27.02.16),Hillary Clinton: (27.02.16 bis 27.02.16)
Rhode Island,75%,25%
Arkansas,88%,12%
Kentucky,84%,16%
New Jersey,81%,19%
West Virginia,85%,15%
Tennessee,85%,15%
North Dakota,87%,13%
Alabama,78%,22%
Massachusetts,76%,24%
New Hampshire,76%,24%
Oklahoma,80%,20%
Florida,84%,16%
Vermont,68%,32%
Nebraska,90%,10%
Maryland,78%,22%
New York,77%,23%
Utah,84%,16%
Virginia,75%,25%
South Dakota,100%,
Connecticut,82%,18%
Pennsylvania,81%,19%
South Carolina,69%,31%
Nevada,80%,20%
Georgia,80%,20%
Arizona,86%,14%
Texas,81%,19%
District of Columbia,72%,28%
Idaho,89%,11%
North Carolina,81%,19%
Maine,74%,26%
Kansas,75%,25%
Louisiana,69%,31%
Colorado,76%,24%
Washington,80%,20%
Oregon,79%,21%
California,80%,20%
Michigan,79%,21%
Illinois,81%,19%
Alaska,83%,17%
Montana,75%,25%
Indiana,82%,18%
Minnesota,74%,26%
Delaware,45%,55%
Iowa,89%,11%
Wisconsin,82%,18%
Ohio,81%,19%
New Mexico,79%,21%
Wyoming,73%,27%
Missouri,79%,21%
Mississippi,71%,29%
Hawaii,79%,21%
