Kategorie: Alle Kategorien

Region,Donald Trump: (09.12.15 bis 09.12.15),Hillary Clinton: (09.12.15 bis 09.12.15)
Washington,96%,4%
Massachusetts,96%,4%
New Jersey,94%,6%
New York,94%,6%
New Mexico,100%,
Iowa,93%,7%
Vermont,90%,10%
California,95%,5%
Pennsylvania,97%,3%
Michigan,96%,4%
Rhode Island,100%,
District of Columbia,95%,5%
New Hampshire,85%,15%
Maine,92%,8%
Illinois,94%,6%
North Dakota,90%,10%
Utah,95%,5%
Virginia,94%,6%
Connecticut,93%,7%
Delaware,91%,9%
Nebraska,95%,5%
Kentucky,94%,6%
Indiana,96%,4%
Nevada,94%,6%
Maryland,93%,7%
Alaska,90%,10%
Minnesota,97%,3%
Florida,95%,5%
Georgia,94%,6%
Oregon,94%,6%
Texas,94%,6%
North Carolina,95%,5%
Ohio,94%,6%
Tennessee,94%,6%
Arizona,96%,4%
West Virginia,80%,20%
Wisconsin,96%,4%
Louisiana,91%,9%
Colorado,95%,5%
Missouri,93%,7%
South Dakota,88%,12%
Hawaii,93%,7%
Idaho,91%,9%
Alabama,88%,12%
Oklahoma,85%,15%
South Carolina,94%,6%
Mississippi,87%,13%
Arkansas,90%,10%
Montana,87%,13%
Wyoming,59%,41%
Kansas,95%,5%
