Kategorie: Alle Kategorien

Region,Donald Trump: (14.11.15 bis 14.11.15),Hillary Clinton: (14.11.15 bis 14.11.15)
Wyoming,76%,24%
South Dakota,76%,24%
North Dakota,100%,
Montana,81%,19%
Rhode Island,85%,15%
Louisiana,92%,8%
Mississippi,100%,
Massachusetts,83%,17%
New Jersey,86%,14%
Indiana,87%,13%
Delaware,68%,32%
Missouri,80%,20%
District of Columbia,82%,18%
Wisconsin,90%,10%
Minnesota,81%,19%
New York,84%,16%
Pennsylvania,85%,15%
Florida,83%,17%
Michigan,90%,10%
California,88%,12%
Washington,76%,24%
Ohio,89%,11%
Connecticut,74%,26%
Tennessee,82%,18%
Oregon,81%,19%
Georgia,93%,7%
Maine,47%,53%
New Hampshire,64%,36%
Illinois,74%,26%
Oklahoma,64%,36%
Alaska,100%,
Idaho,76%,24%
Texas,83%,17%
Maryland,75%,25%
Iowa,68%,32%
Nevada,85%,15%
Arizona,82%,18%
North Carolina,88%,12%
Vermont,100%,
Nebraska,71%,29%
Utah,83%,17%
Colorado,81%,19%
Virginia,82%,18%
New Mexico,68%,32%
South Carolina,70%,30%
Alabama,81%,19%
West Virginia,100%,
Kansas,65%,35%
Kentucky,79%,21%
Arkansas,51%,49%
Hawaii,100%,
