Kategorie: Alle Kategorien

Region,Donald Trump: (02.07.16 bis 02.07.16),Hillary Clinton: (02.07.16 bis 02.07.16)
Vermont,27%,73%
New Hampshire,42%,58%
West Virginia,61%,39%
Wyoming,100%,
Rhode Island,45%,55%
South Dakota,56%,44%
Maine,53%,47%
Montana,40%,60%
Massachusetts,56%,44%
Hawaii,46%,54%
Washington,62%,38%
New Jersey,50%,50%
Oregon,40%,60%
North Dakota,43%,57%
Louisiana,45%,55%
South Carolina,56%,44%
Arkansas,74%,26%
Delaware,40%,60%
Colorado,59%,41%
California,57%,43%
Missouri,59%,41%
District of Columbia,58%,42%
Connecticut,56%,44%
Kentucky,49%,51%
Oklahoma,53%,47%
Iowa,35%,65%
Tennessee,54%,46%
Alabama,41%,59%
Minnesota,46%,54%
Virginia,52%,48%
New Mexico,60%,40%
Kansas,36%,64%
New York,49%,51%
Arizona,47%,53%
Indiana,52%,48%
Idaho,50%,50%
Nebraska,58%,42%
Texas,54%,46%
Maryland,53%,47%
Mississippi,45%,55%
Pennsylvania,48%,52%
Illinois,57%,43%
Florida,54%,46%
Georgia,53%,47%
Nevada,79%,21%
Michigan,46%,54%
Alaska,40%,60%
North Carolina,49%,51%
Ohio,51%,49%
Wisconsin,54%,46%
Utah,59%,41%
