Kategorie: Alle Kategorien

Region,Donald Trump: (20.12.15 bis 20.12.15),Hillary Clinton: (20.12.15 bis 20.12.15)
Wyoming,26%,74%
Vermont,61%,39%
South Dakota,67%,33%
Iowa,62%,38%
New Hampshire,65%,35%
Mississippi,84%,16%
Michigan,66%,34%
Indiana,71%,29%
Massachusetts,63%,37%
Nebraska,78%,22%
New Jersey,67%,33%
Oklahoma,67%,33%
District of Columbia,59%,41%
West Virginia,77%,23%
Arizona,65%,35%
Delaware,51%,49%
Arkansas,64%,36%
Maryland,61%,39%
Nevada,87%,13%
Colorado,67%,33%
Rhode Island,64%,36%
Washington,60%,40%
Florida,65%,35%
Ohio,67%,33%
Pennsylvania,55%,45%
Idaho,54%,46%
Tennessee,56%,44%
Minnesota,61%,39%
Connecticut,63%,37%
New York,58%,42%
Oregon,64%,36%
Virginia,61%,39%
North Carolina,63%,37%
California,57%,43%
Georgia,67%,33%
Wisconsin,59%,41%
Missouri,73%,27%
Illinois,56%,44%
Alabama,58%,42%
Kentucky,53%,47%
Louisiana,56%,44%
New Mexico,45%,55%
Hawaii,72%,28%
Utah,54%,46%
Texas,59%,41%
Maine,67%,33%
Alaska,100%,
South Carolina,62%,38%
Montana,100%,
Kansas,54%,46%
North Dakota,,
