Kategorie: Alle Kategorien

Region,Donald Trump: (18.11.15 bis 18.11.15),Hillary Clinton: (18.11.15 bis 18.11.15)
Wyoming,100%,
New Hampshire,67%,33%
Vermont,51%,49%
Massachusetts,85%,15%
Delaware,76%,24%
Alabama,80%,20%
New Mexico,84%,16%
West Virginia,81%,19%
North Dakota,100%,
Alaska,68%,32%
South Dakota,51%,49%
Tennessee,78%,22%
Indiana,85%,15%
Ohio,81%,19%
District of Columbia,77%,23%
Connecticut,73%,27%
Maryland,70%,30%
Pennsylvania,85%,15%
Kentucky,89%,11%
South Carolina,87%,13%
New York,77%,23%
Iowa,60%,40%
New Jersey,79%,21%
Minnesota,88%,12%
Missouri,77%,23%
Georgia,83%,17%
Arizona,78%,22%
Michigan,78%,22%
Maine,72%,28%
Idaho,75%,25%
Colorado,81%,19%
Virginia,71%,29%
Illinois,80%,20%
California,78%,22%
Florida,76%,24%
North Carolina,75%,25%
Louisiana,74%,26%
Utah,68%,32%
Mississippi,76%,24%
Montana,51%,49%
Nebraska,59%,41%
Texas,73%,27%
Rhode Island,68%,32%
Arkansas,79%,21%
Nevada,81%,19%
Kansas,70%,30%
Oregon,65%,35%
Wisconsin,65%,35%
Oklahoma,61%,39%
Hawaii,100%,
Washington,55%,45%
