Kategorie: Alle Kategorien

Region,Donald Trump: (16.05.16 bis 16.05.16),Hillary Clinton: (16.05.16 bis 16.05.16)
Alaska,29%,71%
Montana,80%,20%
North Dakota,74%,26%
Delaware,75%,25%
District of Columbia,74%,26%
Rhode Island,71%,29%
Utah,82%,18%
Washington,64%,36%
West Virginia,73%,27%
Iowa,72%,28%
South Dakota,100%,
Michigan,72%,28%
South Carolina,79%,21%
New Jersey,69%,31%
New York,66%,34%
Connecticut,63%,37%
Tennessee,76%,24%
Kentucky,43%,57%
Alabama,83%,17%
North Carolina,73%,27%
Florida,72%,28%
Maryland,69%,31%
Pennsylvania,70%,30%
New Hampshire,65%,35%
California,68%,32%
Oregon,65%,35%
Nebraska,87%,13%
Arizona,74%,26%
Illinois,72%,28%
Nevada,68%,32%
Indiana,68%,32%
Wyoming,100%,
Ohio,70%,30%
Louisiana,69%,31%
Maine,59%,41%
Texas,73%,27%
Massachusetts,67%,33%
Idaho,56%,44%
Missouri,65%,35%
Colorado,59%,41%
Vermont,73%,27%
Georgia,75%,25%
Oklahoma,71%,29%
Virginia,66%,34%
Mississippi,71%,29%
Arkansas,65%,35%
New Mexico,78%,22%
Minnesota,68%,32%
Kansas,68%,32%
Wisconsin,64%,36%
Hawaii,71%,29%
