Kategorie: Alle Kategorien

Region,Donald Trump: (13.12.15 bis 13.12.15),Hillary Clinton: (13.12.15 bis 13.12.15)
Delaware,100%,
Alaska,79%,21%
Kentucky,91%,9%
Utah,89%,11%
Wyoming,33%,67%
New Jersey,89%,11%
Nevada,94%,6%
Maryland,87%,13%
Minnesota,81%,19%
Maine,100%,
Pennsylvania,89%,11%
New York,91%,9%
Connecticut,84%,16%
Oklahoma,87%,13%
Iowa,73%,27%
Virginia,92%,8%
Missouri,87%,13%
Massachusetts,86%,14%
Alabama,84%,16%
Georgia,94%,6%
District of Columbia,84%,16%
Arizona,87%,13%
Indiana,88%,12%
Michigan,93%,7%
Mississippi,70%,30%
Ohio,96%,4%
Colorado,95%,5%
New Mexico,100%,
Florida,87%,13%
Washington,84%,16%
Montana,73%,27%
North Carolina,91%,9%
California,87%,13%
Rhode Island,79%,21%
South Dakota,68%,32%
Tennessee,86%,14%
West Virginia,61%,39%
Illinois,88%,12%
New Hampshire,68%,32%
South Carolina,75%,25%
Louisiana,100%,
Texas,90%,10%
Hawaii,76%,24%
Idaho,79%,21%
Oregon,83%,17%
Nebraska,83%,17%
Wisconsin,72%,28%
Arkansas,100%,
Kansas,94%,6%
Vermont,51%,49%
North Dakota,100%,
