Kategorie: Alle Kategorien

Region,Donald Trump: (29.12.15 bis 29.12.15),Hillary Clinton: (29.12.15 bis 29.12.15)
New Hampshire,77%,23%
Maine,87%,13%
Alaska,79%,21%
North Dakota,100%,
West Virginia,70%,30%
Nebraska,84%,16%
Mississippi,100%,
Vermont,51%,49%
District of Columbia,80%,20%
South Dakota,100%,
Delaware,34%,66%
Nevada,80%,20%
South Carolina,86%,14%
Pennsylvania,74%,26%
New Jersey,85%,15%
Florida,77%,23%
Oklahoma,86%,14%
Massachusetts,72%,28%
New York,78%,22%
Georgia,76%,24%
Montana,67%,33%
Wyoming,100%,
New Mexico,100%,
Ohio,79%,21%
Tennessee,76%,24%
Connecticut,74%,26%
Utah,74%,26%
California,77%,23%
Michigan,71%,29%
North Carolina,78%,22%
Arizona,74%,26%
Wisconsin,70%,30%
Minnesota,78%,22%
Iowa,70%,30%
Virginia,68%,32%
Indiana,71%,29%
Idaho,100%,
Rhode Island,100%,
Alabama,72%,28%
Arkansas,64%,36%
Illinois,71%,29%
Washington,60%,40%
Maryland,65%,35%
Oregon,64%,36%
Hawaii,43%,57%
Louisiana,62%,38%
Kentucky,67%,33%
Texas,75%,25%
Missouri,77%,23%
Colorado,73%,27%
Kansas,84%,16%
