Kategorie: Alle Kategorien

Region,Donald Trump: (11.03.16 bis 11.03.16),Hillary Clinton: (11.03.16 bis 11.03.16)
Missouri,81%,19%
Vermont,67%,33%
Illinois,76%,24%
West Virginia,86%,14%
Connecticut,81%,19%
Rhode Island,82%,18%
Michigan,76%,24%
North Carolina,77%,23%
Ohio,76%,24%
District of Columbia,73%,27%
Florida,81%,19%
New Hampshire,75%,25%
Delaware,73%,27%
Massachusetts,77%,23%
South Carolina,85%,15%
Alabama,86%,14%
Virginia,83%,17%
Pennsylvania,80%,20%
Kentucky,78%,22%
New York,75%,25%
Arkansas,87%,13%
Mississippi,88%,12%
Minnesota,79%,21%
Kansas,79%,21%
Indiana,83%,17%
Wisconsin,82%,18%
Maryland,77%,23%
New Jersey,77%,23%
Nebraska,87%,13%
North Dakota,67%,33%
Colorado,83%,17%
Washington,81%,19%
Wyoming,100%,
Georgia,84%,16%
Idaho,78%,22%
Texas,81%,19%
Iowa,91%,9%
Tennessee,82%,18%
Montana,88%,12%
South Dakota,69%,31%
California,77%,23%
Nevada,90%,10%
Arizona,81%,19%
Alaska,83%,17%
Oregon,72%,28%
Oklahoma,88%,12%
Louisiana,89%,11%
Maine,62%,38%
Utah,71%,29%
Hawaii,76%,24%
New Mexico,81%,19%
