Kategorie: Alle Kategorien

Region,Donald Trump: (26.11.15 bis 26.11.15),Hillary Clinton: (26.11.15 bis 26.11.15)
Alaska,100%,
Delaware,68%,32%
Rhode Island,100%,
Vermont,100%,
Connecticut,91%,9%
New Hampshire,76%,24%
New Mexico,100%,
New Jersey,89%,11%
South Dakota,61%,39%
New York,88%,12%
Illinois,83%,17%
Florida,91%,9%
Massachusetts,74%,26%
Nevada,80%,20%
Washington,82%,18%
Pennsylvania,86%,14%
Colorado,93%,7%
Maryland,76%,24%
Michigan,87%,13%
Wyoming,100%,
Ohio,91%,9%
Mississippi,76%,24%
Indiana,76%,24%
District of Columbia,81%,19%
California,90%,10%
Georgia,88%,12%
Wisconsin,81%,19%
Oregon,76%,24%
Virginia,94%,6%
Montana,61%,39%
Idaho,72%,28%
Hawaii,72%,28%
Minnesota,91%,9%
Iowa,65%,35%
Arizona,85%,15%
South Carolina,74%,26%
North Carolina,72%,28%
Utah,100%,
Oklahoma,100%,
Texas,84%,16%
Tennessee,66%,34%
Nebraska,61%,39%
West Virginia,100%,
Maine,60%,40%
Missouri,77%,23%
Arkansas,100%,
Alabama,76%,24%
Kentucky,72%,28%
Louisiana,61%,39%
Kansas,100%,
North Dakota,,
