Kategorie: Alle Kategorien

Region,Donald Trump: (23.08.16 bis 23.08.16),Hillary Clinton: (23.08.16 bis 23.08.16)
New Hampshire,54%,46%
Kansas,59%,41%
Arkansas,45%,55%
Mississippi,58%,42%
Pennsylvania,57%,43%
Washington,62%,38%
Connecticut,41%,59%
West Virginia,67%,33%
New Jersey,53%,47%
New York,55%,45%
Nevada,50%,50%
Kentucky,57%,43%
Vermont,72%,28%
South Dakota,50%,50%
Maryland,64%,36%
Wyoming,33%,67%
Hawaii,69%,31%
Florida,55%,45%
New Mexico,48%,52%
Massachusetts,53%,47%
Ohio,55%,45%
California,56%,44%
Nebraska,44%,56%
South Carolina,55%,45%
Texas,58%,42%
Illinois,51%,49%
Alabama,49%,51%
Michigan,57%,43%
District of Columbia,48%,52%
North Dakota,38%,62%
Georgia,49%,51%
Minnesota,56%,44%
North Carolina,57%,43%
Montana,75%,25%
Missouri,49%,51%
Oregon,49%,51%
Oklahoma,44%,56%
Arizona,49%,51%
Iowa,40%,60%
Wisconsin,56%,44%
Louisiana,52%,48%
Indiana,55%,45%
Maine,67%,33%
Virginia,52%,48%
Colorado,46%,54%
Delaware,56%,44%
Alaska,,100%
Rhode Island,40%,60%
Tennessee,52%,48%
Utah,54%,46%
Idaho,40%,60%
