Kategorie: Alle Kategorien

Region,Donald Trump: (30.05.16 bis 30.05.16),Hillary Clinton: (30.05.16 bis 30.05.16)
Delaware,73%,27%
North Dakota,64%,36%
Wyoming,50%,50%
West Virginia,79%,21%
District of Columbia,63%,37%
South Dakota,72%,28%
Oregon,63%,37%
New Mexico,77%,23%
New Hampshire,76%,24%
Montana,67%,33%
Michigan,59%,41%
Connecticut,56%,44%
Oklahoma,63%,37%
California,60%,40%
New Jersey,60%,40%
New York,64%,36%
Rhode Island,50%,50%
Arizona,67%,33%
South Carolina,66%,34%
Wisconsin,67%,33%
Alaska,,100%
Pennsylvania,71%,29%
Utah,65%,35%
Florida,68%,32%
Maryland,57%,43%
Alabama,75%,25%
Virginia,65%,35%
Massachusetts,45%,55%
Colorado,62%,38%
Washington,49%,51%
North Carolina,68%,32%
Tennessee,68%,32%
Ohio,65%,35%
Louisiana,58%,42%
Kansas,64%,36%
Illinois,60%,40%
Kentucky,63%,37%
Maine,64%,36%
Georgia,59%,41%
Texas,59%,41%
Minnesota,47%,53%
Arkansas,53%,47%
Missouri,53%,47%
Indiana,60%,40%
Mississippi,53%,47%
Iowa,42%,58%
Nevada,33%,67%
Idaho,45%,55%
Nebraska,59%,41%
Hawaii,63%,37%
Vermont,50%,50%
