Kategorie: Alle Kategorien

Region,Donald Trump: (24.10.16 bis 24.10.16),Hillary Clinton: (24.10.16 bis 24.10.16)
North Dakota,83%,17%
Nevada,66%,34%
Maine,60%,40%
Connecticut,62%,38%
Maryland,70%,30%
District of Columbia,59%,41%
Ohio,66%,34%
Arkansas,66%,34%
Pennsylvania,62%,38%
Florida,59%,41%
Massachusetts,61%,39%
New Jersey,58%,42%
Delaware,49%,51%
New York,59%,41%
North Carolina,59%,41%
Tennessee,64%,36%
Illinois,61%,39%
Iowa,53%,47%
New Mexico,62%,38%
Virginia,60%,40%
Indiana,56%,44%
California,62%,38%
New Hampshire,50%,50%
Wisconsin,67%,33%
Washington,63%,37%
South Carolina,63%,37%
Georgia,63%,37%
Mississippi,56%,44%
West Virginia,61%,39%
Minnesota,59%,41%
Arizona,64%,36%
Rhode Island,63%,37%
Michigan,57%,43%
Missouri,52%,48%
Oregon,62%,38%
Alabama,59%,41%
Idaho,58%,42%
Wyoming,100%,
Texas,59%,41%
Louisiana,58%,42%
Nebraska,56%,44%
Oklahoma,55%,45%
South Dakota,65%,35%
Colorado,52%,48%
Kansas,56%,44%
Kentucky,59%,41%
Montana,41%,59%
Utah,58%,42%
Hawaii,60%,40%
Alaska,61%,39%
Vermont,61%,39%
