Kategorie: Alle Kategorien

Region,Donald Trump: (13.02.16 bis 13.02.16),Hillary Clinton: (13.02.16 bis 13.02.16)
Vermont,48%,52%
Connecticut,70%,30%
Wyoming,100%,
West Virginia,66%,34%
North Dakota,68%,32%
South Carolina,74%,26%
Florida,74%,26%
Rhode Island,65%,35%
Alaska,45%,55%
New Hampshire,51%,49%
Michigan,69%,31%
Nevada,52%,48%
Arkansas,62%,38%
Montana,61%,39%
New York,63%,37%
Pennsylvania,71%,29%
Maryland,68%,32%
Washington,65%,35%
Massachusetts,54%,46%
New Jersey,63%,37%
Alabama,73%,27%
North Carolina,69%,31%
Delaware,40%,60%
Oklahoma,63%,37%
Minnesota,59%,41%
Tennessee,65%,35%
Virginia,66%,34%
Colorado,54%,46%
Arizona,64%,36%
Georgia,65%,35%
Missouri,61%,39%
Illinois,69%,31%
California,62%,38%
Louisiana,78%,22%
Maine,71%,29%
Indiana,63%,37%
Wisconsin,67%,33%
Kentucky,67%,33%
Iowa,66%,34%
Ohio,60%,40%
Texas,66%,34%
Nebraska,76%,24%
Hawaii,55%,45%
Oregon,62%,38%
Kansas,64%,36%
District of Columbia,51%,49%
New Mexico,47%,53%
Idaho,57%,43%
Utah,48%,52%
Mississippi,55%,45%
South Dakota,51%,49%
