Kategorie: Alle Kategorien

Region,Donald Trump: (30.01.16 bis 30.01.16),Hillary Clinton: (30.01.16 bis 30.01.16)
Iowa,55%,45%
North Dakota,70%,30%
Vermont,74%,26%
Massachusetts,67%,33%
Delaware,68%,32%
Rhode Island,100%,
New York,67%,33%
Florida,76%,24%
Virginia,66%,34%
Maine,68%,32%
Illinois,73%,27%
Washington,67%,33%
Missouri,74%,26%
South Carolina,78%,22%
Colorado,66%,34%
New Jersey,67%,33%
Michigan,66%,34%
District of Columbia,57%,43%
Alaska,72%,28%
Connecticut,66%,34%
North Carolina,70%,30%
California,72%,28%
Idaho,80%,20%
Kansas,79%,21%
Nebraska,71%,29%
Oklahoma,79%,21%
Oregon,67%,33%
Pennsylvania,68%,32%
Maryland,70%,30%
Arizona,67%,33%
Minnesota,55%,45%
New Hampshire,57%,43%
Alabama,61%,39%
Arkansas,64%,36%
West Virginia,70%,30%
Georgia,72%,28%
Mississippi,63%,37%
Texas,71%,29%
Tennessee,74%,26%
Ohio,68%,32%
Wyoming,61%,39%
Utah,78%,22%
South Dakota,100%,
New Mexico,68%,32%
Hawaii,65%,35%
Montana,45%,55%
Indiana,56%,44%
Louisiana,65%,35%
Wisconsin,64%,36%
Nevada,57%,43%
Kentucky,57%,43%
