Kategorie: Alle Kategorien

Region,Donald Trump: (19.04.16 bis 19.04.16),Hillary Clinton: (19.04.16 bis 19.04.16)
New York,56%,44%
Vermont,27%,73%
Connecticut,64%,36%
Indiana,77%,23%
New Hampshire,86%,14%
New Jersey,66%,34%
District of Columbia,53%,47%
Pennsylvania,67%,33%
Nebraska,81%,19%
Maryland,69%,31%
California,67%,33%
Massachusetts,67%,33%
Delaware,76%,24%
Washington,63%,37%
Colorado,73%,27%
Oregon,66%,34%
North Carolina,73%,27%
Utah,65%,35%
Kentucky,71%,29%
Alaska,100%,
Michigan,69%,31%
Arizona,63%,37%
Kansas,77%,23%
Florida,67%,33%
Illinois,67%,33%
Arkansas,68%,32%
South Dakota,51%,49%
Ohio,69%,31%
Iowa,69%,31%
West Virginia,72%,28%
Virginia,64%,36%
North Dakota,68%,32%
South Carolina,65%,35%
Minnesota,64%,36%
Texas,68%,32%
Georgia,66%,34%
Maine,48%,52%
Wisconsin,58%,42%
Alabama,70%,30%
Louisiana,57%,43%
Tennessee,68%,32%
Missouri,71%,29%
New Mexico,46%,54%
Nevada,57%,43%
Oklahoma,60%,40%
Mississippi,69%,31%
Montana,56%,44%
Idaho,81%,19%
Rhode Island,51%,49%
Hawaii,47%,53%
Wyoming,51%,49%
