Kategorie: Alle Kategorien

Region,Donald Trump: (04.06.16 bis 04.06.16),Hillary Clinton: (04.06.16 bis 04.06.16)
Delaware,81%,19%
Vermont,30%,70%
Virginia,72%,28%
New Jersey,72%,28%
California,56%,44%
Alabama,81%,19%
Connecticut,54%,46%
Hawaii,66%,34%
West Virginia,68%,32%
Nevada,64%,36%
South Dakota,29%,71%
New York,70%,30%
Rhode Island,51%,49%
Alaska,100%,
Kentucky,78%,22%
Massachusetts,58%,42%
New Mexico,55%,45%
District of Columbia,56%,44%
Arizona,64%,36%
Michigan,71%,29%
Ohio,70%,30%
Florida,68%,32%
North Carolina,68%,32%
Pennsylvania,68%,32%
Colorado,66%,34%
Missouri,71%,29%
Illinois,61%,39%
Louisiana,60%,40%
Minnesota,64%,36%
South Carolina,74%,26%
New Hampshire,34%,66%
Maryland,59%,41%
Maine,36%,64%
Oregon,53%,47%
Iowa,62%,38%
Wisconsin,75%,25%
Washington,58%,42%
Montana,67%,33%
Indiana,68%,32%
Idaho,64%,36%
Texas,64%,36%
Georgia,68%,32%
Tennessee,72%,28%
Wyoming,50%,50%
North Dakota,60%,40%
Nebraska,68%,32%
Kansas,81%,19%
Arkansas,51%,49%
Utah,73%,27%
Oklahoma,64%,36%
Mississippi,73%,27%
