Kategorie: Alle Kategorien

Region,Donald Trump: (22.05.16 bis 22.05.16),Hillary Clinton: (22.05.16 bis 22.05.16)
New Mexico,75%,25%
Connecticut,78%,22%
Wyoming,100%,
Montana,65%,35%
South Carolina,72%,28%
New Jersey,75%,25%
Nevada,77%,23%
Vermont,38%,62%
New Hampshire,59%,41%
New York,65%,35%
Virginia,69%,31%
District of Columbia,60%,40%
Alabama,80%,20%
Delaware,47%,53%
Ohio,74%,26%
California,63%,37%
Pennsylvania,70%,30%
South Dakota,50%,50%
Michigan,67%,33%
Oregon,56%,44%
Arizona,66%,34%
North Dakota,67%,33%
Alaska,68%,32%
West Virginia,67%,33%
Rhode Island,79%,21%
Tennessee,65%,35%
Indiana,72%,28%
Florida,72%,28%
Georgia,69%,31%
Oklahoma,72%,28%
Minnesota,67%,33%
North Carolina,70%,30%
Maryland,66%,34%
Mississippi,70%,30%
Idaho,68%,32%
Illinois,66%,34%
Massachusetts,60%,40%
Nebraska,66%,34%
Iowa,63%,37%
Hawaii,74%,26%
Texas,69%,31%
Kentucky,73%,27%
Washington,60%,40%
Colorado,84%,16%
Louisiana,86%,14%
Maine,46%,54%
Missouri,77%,23%
Kansas,46%,54%
Wisconsin,59%,41%
Utah,63%,37%
Arkansas,76%,24%
