Kategorie: Alle Kategorien

Region,Donald Trump: (07.06.16 bis 07.06.16),Hillary Clinton: (07.06.16 bis 07.06.16)
District of Columbia,33%,67%
California,40%,60%
New Hampshire,19%,81%
New Jersey,50%,50%
South Dakota,43%,57%
New York,45%,55%
Vermont,53%,47%
Massachusetts,43%,57%
North Dakota,38%,62%
Washington,51%,49%
New Mexico,41%,59%
Montana,56%,44%
Pennsylvania,55%,45%
Iowa,44%,56%
Connecticut,57%,43%
Maryland,51%,49%
Rhode Island,40%,60%
Oregon,45%,55%
Kansas,47%,53%
Nevada,50%,50%
Louisiana,52%,48%
Kentucky,41%,59%
Illinois,49%,51%
West Virginia,61%,39%
Wyoming,100%,
Minnesota,49%,51%
Maine,33%,67%
Hawaii,38%,62%
Alaska,60%,40%
Georgia,55%,45%
Missouri,49%,51%
Colorado,49%,51%
Texas,52%,48%
Ohio,47%,53%
Wisconsin,47%,53%
Michigan,50%,50%
Florida,49%,51%
Virginia,48%,52%
Arizona,51%,49%
Tennessee,47%,53%
Indiana,48%,52%
North Carolina,46%,54%
Alabama,57%,43%
Oklahoma,40%,60%
Utah,56%,44%
Delaware,60%,40%
South Carolina,42%,58%
Mississippi,58%,42%
Idaho,53%,47%
Nebraska,50%,50%
Arkansas,52%,48%
