Kategorie: Alle Kategorien

Region,Donald Trump: (23.03.16 bis 23.03.16),Hillary Clinton: (23.03.16 bis 23.03.16)
Arizona,68%,32%
Rhode Island,80%,20%
Utah,71%,29%
Idaho,66%,34%
Alaska,77%,23%
Virginia,78%,22%
Mississippi,72%,28%
Pennsylvania,80%,20%
New York,75%,25%
Maryland,83%,17%
Vermont,31%,69%
Washington,55%,45%
Wyoming,100%,
District of Columbia,66%,34%
Massachusetts,80%,20%
Louisiana,81%,19%
Iowa,79%,21%
Wisconsin,82%,18%
Hawaii,83%,17%
South Carolina,83%,17%
Oklahoma,90%,10%
Georgia,83%,17%
Kentucky,75%,25%
North Carolina,82%,18%
New Hampshire,79%,21%
California,73%,27%
Alabama,88%,12%
Michigan,78%,22%
New Jersey,73%,27%
Connecticut,73%,27%
Texas,81%,19%
West Virginia,83%,17%
Nebraska,72%,28%
Illinois,72%,28%
Ohio,78%,22%
Missouri,71%,29%
Maine,87%,13%
Nevada,77%,23%
Florida,79%,21%
Tennessee,78%,22%
Kansas,71%,29%
Indiana,80%,20%
Oregon,72%,28%
New Mexico,74%,26%
Arkansas,81%,19%
South Dakota,76%,24%
Montana,78%,22%
Minnesota,75%,25%
North Dakota,68%,32%
Colorado,75%,25%
Delaware,81%,19%
