Kategorie: Alle Kategorien

Region,Donald Trump: (17.12.15 bis 17.12.15),Hillary Clinton: (17.12.15 bis 17.12.15)
Montana,87%,13%
South Dakota,83%,17%
Kentucky,90%,10%
New Hampshire,90%,10%
Rhode Island,89%,11%
Alabama,86%,14%
New Jersey,91%,9%
Pennsylvania,92%,8%
Alaska,100%,
Connecticut,86%,14%
Maryland,88%,12%
Virginia,90%,10%
New York,89%,11%
South Carolina,91%,9%
Michigan,88%,12%
Ohio,88%,12%
Massachusetts,89%,11%
Nevada,94%,6%
Mississippi,89%,11%
Washington,82%,18%
Arkansas,88%,12%
Oregon,85%,15%
Indiana,96%,4%
Illinois,88%,12%
Florida,87%,13%
Wisconsin,81%,19%
Hawaii,100%,
Arizona,89%,11%
New Mexico,100%,
Minnesota,83%,17%
Delaware,76%,24%
Vermont,100%,
Tennessee,89%,11%
Georgia,85%,15%
Missouri,94%,6%
California,89%,11%
Texas,89%,11%
Colorado,82%,18%
Idaho,86%,14%
Utah,68%,32%
Maine,77%,23%
Iowa,77%,23%
West Virginia,100%,
Nebraska,74%,26%
District of Columbia,77%,23%
North Carolina,82%,18%
Oklahoma,89%,11%
Louisiana,86%,14%
North Dakota,51%,49%
Kansas,100%,
Wyoming,,
