Kategorie: Alle Kategorien

Region,Donald Trump: (08.11.15 bis 08.11.15),Hillary Clinton: (08.11.15 bis 08.11.15)
New Jersey,94%,6%
Vermont,79%,21%
Delaware,68%,32%
Rhode Island,100%,
New Hampshire,74%,26%
New York,92%,8%
Massachusetts,89%,11%
Colorado,90%,10%
South Dakota,62%,38%
Alaska,79%,21%
Florida,91%,9%
New Mexico,78%,22%
Maine,100%,
Connecticut,90%,10%
Minnesota,93%,7%
Oregon,92%,8%
Maryland,84%,16%
Pennsylvania,88%,12%
Alabama,91%,9%
Virginia,93%,7%
Indiana,90%,10%
Wyoming,100%,
District of Columbia,85%,15%
Kentucky,93%,7%
Oklahoma,100%,
Nevada,89%,11%
Iowa,77%,23%
Illinois,92%,8%
Montana,79%,21%
California,91%,9%
Louisiana,100%,
North Dakota,100%,
Arizona,85%,15%
Michigan,86%,14%
Georgia,90%,10%
Washington,93%,7%
Wisconsin,85%,15%
North Carolina,88%,12%
Ohio,91%,9%
Nebraska,100%,
Missouri,93%,7%
Idaho,100%,
Texas,88%,12%
Kansas,83%,17%
South Carolina,85%,15%
Tennessee,88%,12%
Utah,85%,15%
West Virginia,79%,21%
Arkansas,77%,23%
Hawaii,76%,24%
Mississippi,68%,32%
