Kategorie: Alle Kategorien

Region,Donald Trump: (29.01.16 bis 29.01.16),Hillary Clinton: (29.01.16 bis 29.01.16)
North Dakota,88%,12%
Iowa,72%,28%
New Hampshire,78%,22%
Montana,84%,16%
Delaware,84%,16%
New Jersey,89%,11%
West Virginia,89%,11%
Mississippi,89%,11%
Alabama,91%,9%
South Carolina,88%,12%
Arkansas,77%,23%
Oklahoma,92%,8%
Connecticut,84%,16%
Virginia,82%,18%
New York,83%,17%
Tennessee,84%,16%
Massachusetts,77%,23%
Pennsylvania,85%,15%
Missouri,83%,17%
Florida,88%,12%
Maryland,86%,14%
North Carolina,89%,11%
District of Columbia,70%,30%
Michigan,86%,14%
Ohio,80%,20%
Kentucky,87%,13%
Minnesota,87%,13%
Georgia,89%,11%
Louisiana,91%,9%
Washington,81%,19%
Arizona,83%,17%
Maine,70%,30%
Illinois,82%,18%
Nevada,84%,16%
Texas,86%,14%
Nebraska,73%,27%
California,84%,16%
Indiana,86%,14%
Kansas,78%,22%
Utah,82%,18%
Wisconsin,82%,18%
Hawaii,100%,
Oregon,81%,19%
Vermont,72%,28%
Colorado,86%,14%
Idaho,84%,16%
Rhode Island,85%,15%
Alaska,67%,33%
New Mexico,64%,36%
Wyoming,69%,31%
South Dakota,100%,
