Kategorie: Alle Kategorien

Region,Donald Trump: (20.11.15 bis 20.11.15),Hillary Clinton: (20.11.15 bis 20.11.15)
New Hampshire,100%,
Delaware,100%,
West Virginia,84%,16%
Montana,100%,
Massachusetts,81%,19%
South Dakota,100%,
Iowa,76%,24%
Tennessee,64%,36%
Oregon,77%,23%
New York,84%,16%
Indiana,80%,20%
South Carolina,87%,13%
Louisiana,91%,9%
Pennsylvania,87%,13%
Maine,58%,42%
Minnesota,85%,15%
Michigan,82%,18%
Ohio,89%,11%
North Carolina,74%,26%
Virginia,79%,21%
Connecticut,77%,23%
New Mexico,79%,21%
Maryland,75%,25%
Washington,81%,19%
Vermont,61%,39%
Illinois,77%,23%
Arizona,81%,19%
New Jersey,81%,19%
District of Columbia,68%,32%
Missouri,70%,30%
Utah,63%,37%
Alabama,88%,12%
Colorado,80%,20%
Oklahoma,85%,15%
Hawaii,100%,
Wyoming,100%,
Georgia,78%,22%
Kentucky,68%,32%
Texas,78%,22%
Wisconsin,86%,14%
California,77%,23%
Florida,74%,26%
Arkansas,43%,57%
North Dakota,100%,
Nevada,81%,19%
Alaska,100%,
Idaho,44%,56%
Rhode Island,51%,49%
Mississippi,51%,49%
Nebraska,72%,28%
Kansas,65%,35%
