Kategorie: Alle Kategorien

Region,Donald Trump: (21.05.16 bis 21.05.16),Hillary Clinton: (21.05.16 bis 21.05.16)
Vermont,73%,27%
North Dakota,61%,39%
Rhode Island,72%,28%
New Mexico,66%,34%
Oregon,68%,32%
New Hampshire,68%,32%
Maine,61%,39%
Connecticut,75%,25%
Arkansas,85%,15%
South Carolina,80%,20%
Washington,68%,32%
New York,69%,31%
Nevada,57%,43%
Montana,55%,45%
Indiana,65%,35%
West Virginia,57%,43%
New Jersey,70%,30%
Kentucky,58%,42%
Virginia,69%,31%
Tennessee,72%,28%
North Carolina,68%,32%
District of Columbia,74%,26%
Idaho,76%,24%
California,64%,36%
Florida,73%,27%
Pennsylvania,66%,34%
Massachusetts,68%,32%
Kansas,81%,19%
Illinois,72%,28%
Utah,70%,30%
Ohio,76%,24%
Texas,71%,29%
Minnesota,70%,30%
Michigan,66%,34%
Colorado,68%,32%
Georgia,73%,27%
South Dakota,,100%
Alabama,71%,29%
Wyoming,51%,49%
Wisconsin,63%,37%
Arizona,61%,39%
Louisiana,69%,31%
Missouri,77%,23%
Nebraska,83%,17%
Maryland,65%,35%
Delaware,58%,42%
Hawaii,55%,45%
Oklahoma,53%,47%
Mississippi,64%,36%
Iowa,62%,38%
Alaska,,
