Kategorie: Alle Kategorien

Region,Donald Trump: (14.03.16 bis 14.03.16),Hillary Clinton: (14.03.16 bis 14.03.16)
Missouri,80%,20%
Ohio,80%,20%
Illinois,74%,26%
North Carolina,78%,22%
Nevada,87%,13%
Florida,79%,21%
Vermont,69%,31%
New Hampshire,80%,20%
New Jersey,80%,20%
Nebraska,91%,9%
District of Columbia,75%,25%
Maine,76%,24%
Connecticut,82%,18%
Maryland,75%,25%
West Virginia,75%,25%
New York,80%,20%
Indiana,81%,19%
Alabama,86%,14%
Pennsylvania,80%,20%
Michigan,78%,22%
Massachusetts,77%,23%
Tennessee,78%,22%
Rhode Island,79%,21%
Virginia,78%,22%
Idaho,80%,20%
South Carolina,89%,11%
Arkansas,90%,10%
Texas,84%,16%
Georgia,80%,20%
North Dakota,100%,
California,78%,22%
Iowa,82%,18%
Wisconsin,88%,12%
Oregon,77%,23%
Louisiana,88%,12%
Kentucky,82%,18%
Hawaii,78%,22%
Washington,74%,26%
Wyoming,69%,31%
Minnesota,81%,19%
Utah,79%,21%
Mississippi,90%,10%
Delaware,89%,11%
Colorado,77%,23%
Arizona,78%,22%
Oklahoma,82%,18%
New Mexico,80%,20%
Kansas,83%,17%
Alaska,80%,20%
South Dakota,64%,36%
Montana,77%,23%
