Kategorie: Alle Kategorien

Region,Donald Trump: (26.12.15 bis 26.12.15),Hillary Clinton: (26.12.15 bis 26.12.15)
West Virginia,88%,12%
Alaska,100%,
Montana,100%,
Mississippi,100%,
Vermont,34%,66%
New Mexico,100%,
Delaware,100%,
Nevada,77%,23%
Connecticut,82%,18%
Rhode Island,61%,39%
Hawaii,79%,21%
Washington,88%,12%
Kentucky,83%,17%
South Carolina,81%,19%
Tennessee,90%,10%
New Hampshire,72%,28%
Wyoming,51%,49%
Massachusetts,84%,16%
New Jersey,69%,31%
California,80%,20%
New York,72%,28%
North Carolina,77%,23%
Ohio,77%,23%
Pennsylvania,70%,30%
Minnesota,77%,23%
Florida,82%,18%
Virginia,76%,24%
Michigan,80%,20%
North Dakota,100%,
Arizona,89%,11%
Maryland,74%,26%
South Dakota,100%,
Georgia,81%,19%
Illinois,72%,28%
District of Columbia,58%,42%
Oregon,71%,29%
Texas,76%,24%
Wisconsin,67%,33%
Colorado,76%,24%
Louisiana,81%,19%
Indiana,53%,47%
Utah,59%,41%
Iowa,64%,36%
Idaho,34%,66%
Nebraska,56%,44%
Oklahoma,76%,24%
Alabama,68%,32%
Arkansas,51%,49%
Missouri,54%,46%
Maine,100%,
Kansas,100%,
