Kategorie: Alle Kategorien

Region,Donald Trump: (25.01.16 bis 25.01.16),Hillary Clinton: (25.01.16 bis 25.01.16)
Iowa,60%,40%
New Hampshire,74%,26%
Vermont,73%,27%
Maine,68%,32%
North Dakota,81%,19%
South Dakota,100%,
Montana,68%,32%
Missouri,76%,24%
Oklahoma,86%,14%
Connecticut,78%,22%
Idaho,82%,18%
Massachusetts,67%,33%
Rhode Island,78%,22%
Nevada,66%,34%
Wyoming,100%,
New Jersey,79%,21%
District of Columbia,64%,36%
Michigan,78%,22%
Alabama,88%,12%
New York,74%,26%
South Carolina,82%,18%
Pennsylvania,79%,21%
Alaska,73%,27%
Wisconsin,72%,28%
Virginia,77%,23%
Arkansas,76%,24%
Utah,84%,16%
Oregon,74%,26%
Illinois,76%,24%
Maryland,68%,32%
Nebraska,57%,43%
Kansas,79%,21%
Ohio,86%,14%
Kentucky,70%,30%
Washington,70%,30%
Louisiana,84%,16%
Arizona,79%,21%
California,74%,26%
Indiana,74%,26%
Texas,76%,24%
Hawaii,76%,24%
North Carolina,75%,25%
Minnesota,80%,20%
Florida,75%,25%
Tennessee,75%,25%
Delaware,73%,27%
Georgia,81%,19%
Mississippi,80%,20%
Colorado,65%,35%
West Virginia,61%,39%
New Mexico,65%,35%
