Kategorie: Alle Kategorien

Region,Donald Trump: (08.12.15 bis 08.12.15),Hillary Clinton: (08.12.15 bis 08.12.15)
North Dakota,92%,8%
Massachusetts,95%,5%
New York,94%,6%
New Jersey,96%,4%
District of Columbia,92%,8%
Connecticut,92%,8%
Virginia,96%,4%
Michigan,96%,4%
Pennsylvania,93%,7%
Washington,97%,3%
Iowa,91%,9%
Maryland,92%,8%
Rhode Island,81%,19%
Vermont,100%,
Delaware,89%,11%
North Carolina,93%,7%
California,95%,5%
Oregon,92%,8%
Maine,93%,7%
South Carolina,96%,4%
Kentucky,94%,6%
Illinois,92%,8%
Georgia,95%,5%
Ohio,95%,5%
Minnesota,96%,4%
Alabama,94%,6%
Nebraska,90%,10%
West Virginia,91%,9%
Tennessee,93%,7%
Montana,88%,12%
New Hampshire,81%,19%
Florida,94%,6%
Indiana,92%,8%
Colorado,88%,12%
Texas,94%,6%
Arkansas,88%,12%
Idaho,93%,7%
Wisconsin,89%,11%
Nevada,89%,11%
Arizona,93%,7%
Missouri,95%,5%
Alaska,82%,18%
Utah,93%,7%
Oklahoma,84%,16%
Louisiana,100%,
New Mexico,88%,12%
Hawaii,88%,12%
Kansas,96%,4%
Mississippi,90%,10%
Wyoming,100%,
South Dakota,100%,
