Kategorie: Alle Kategorien

Region,Donald Trump: (25.06.16 bis 25.06.16),Hillary Clinton: (25.06.16 bis 25.06.16)
Delaware,74%,26%
Wyoming,51%,49%
North Dakota,74%,26%
Vermont,22%,78%
Rhode Island,66%,34%
New Mexico,84%,16%
California,72%,28%
New Jersey,69%,31%
Washington,63%,37%
Arizona,70%,30%
Maryland,64%,36%
District of Columbia,62%,38%
Maine,48%,52%
Massachusetts,70%,30%
Alabama,68%,32%
Pennsylvania,68%,32%
Connecticut,68%,32%
Oregon,64%,36%
New York,70%,30%
Nebraska,71%,29%
South Carolina,71%,29%
Virginia,67%,33%
Montana,72%,28%
Hawaii,78%,22%
Texas,72%,28%
Minnesota,75%,25%
Louisiana,69%,31%
Nevada,72%,28%
Arkansas,69%,31%
Illinois,72%,28%
Tennessee,64%,36%
Florida,65%,35%
Alaska,34%,66%
Michigan,63%,37%
New Hampshire,79%,21%
Indiana,65%,35%
North Carolina,62%,38%
Ohio,61%,39%
Georgia,68%,32%
Wisconsin,78%,22%
Kansas,73%,27%
Colorado,62%,38%
West Virginia,76%,24%
Kentucky,82%,18%
Missouri,63%,37%
Utah,83%,17%
Idaho,67%,33%
Oklahoma,51%,49%
Iowa,68%,32%
Mississippi,71%,29%
South Dakota,,100%
