Kategorie: Alle Kategorien

Region,Donald Trump: (20.01.16 bis 20.01.16),Hillary Clinton: (20.01.16 bis 20.01.16)
Oklahoma,87%,13%
Vermont,64%,36%
Iowa,63%,37%
Idaho,80%,20%
Nebraska,71%,29%
District of Columbia,65%,35%
Montana,64%,36%
Massachusetts,70%,30%
New Hampshire,59%,41%
Delaware,84%,16%
South Carolina,73%,27%
New Jersey,80%,20%
New Mexico,76%,24%
Maryland,75%,25%
Wisconsin,74%,26%
Alabama,73%,27%
Colorado,85%,15%
Michigan,80%,20%
Kansas,85%,15%
South Dakota,68%,32%
Mississippi,75%,25%
Virginia,72%,28%
Hawaii,83%,17%
Illinois,75%,25%
Alaska,100%,
Georgia,72%,28%
Missouri,67%,33%
West Virginia,76%,24%
Wyoming,68%,32%
Pennsylvania,71%,29%
Nevada,71%,29%
New York,73%,27%
California,74%,26%
Maine,60%,40%
Florida,71%,29%
Minnesota,72%,28%
Ohio,72%,28%
Texas,75%,25%
Connecticut,60%,40%
Tennessee,87%,13%
Arizona,76%,24%
North Carolina,76%,24%
Oregon,78%,22%
Louisiana,68%,32%
Indiana,70%,30%
Washington,63%,37%
Kentucky,72%,28%
Rhode Island,55%,45%
Arkansas,68%,32%
Utah,51%,49%
North Dakota,51%,49%
