Kategorie: Alle Kategorien

Region,Donald Trump: (29.02.16 bis 29.02.16),Hillary Clinton: (29.02.16 bis 29.02.16)
Vermont,76%,24%
Alabama,84%,16%
Virginia,80%,20%
Maine,75%,25%
New Hampshire,88%,12%
District of Columbia,73%,27%
Massachusetts,71%,29%
New Jersey,84%,16%
Arkansas,77%,23%
Kentucky,87%,13%
Georgia,82%,18%
Pennsylvania,84%,16%
New York,82%,18%
South Carolina,81%,19%
Montana,100%,
Indiana,86%,14%
Tennessee,83%,17%
Connecticut,83%,17%
Rhode Island,91%,9%
Nebraska,89%,11%
North Dakota,81%,19%
Oklahoma,74%,26%
North Carolina,83%,17%
Colorado,81%,19%
Florida,84%,16%
Wisconsin,85%,15%
Arizona,84%,16%
Michigan,83%,17%
Minnesota,72%,28%
Missouri,80%,20%
Nevada,84%,16%
South Dakota,80%,20%
Delaware,79%,21%
Illinois,81%,19%
California,84%,16%
Oregon,86%,14%
Texas,81%,19%
Maryland,81%,19%
Washington,79%,21%
Ohio,89%,11%
Idaho,83%,17%
Utah,88%,12%
Kansas,81%,19%
West Virginia,78%,22%
Iowa,85%,15%
Wyoming,82%,18%
New Mexico,89%,11%
Mississippi,76%,24%
Alaska,77%,23%
Louisiana,79%,21%
Hawaii,75%,25%
