Kategorie: Alle Kategorien

Region,Donald Trump: (14.05.16 bis 14.05.16),Hillary Clinton: (14.05.16 bis 14.05.16)
Wyoming,81%,19%
Vermont,37%,63%
New Jersey,76%,24%
Mississippi,84%,16%
Oregon,71%,29%
South Dakota,68%,32%
North Dakota,100%,
Iowa,71%,29%
Massachusetts,78%,22%
Montana,79%,21%
Delaware,68%,32%
Pennsylvania,71%,29%
Nevada,80%,20%
District of Columbia,69%,31%
Alabama,75%,25%
New York,70%,30%
Connecticut,69%,31%
Washington,75%,25%
Virginia,79%,21%
Tennessee,79%,21%
Florida,78%,22%
California,72%,28%
Kansas,80%,20%
Ohio,76%,24%
Indiana,76%,24%
North Carolina,76%,24%
Illinois,74%,26%
Minnesota,78%,22%
Maine,68%,32%
Wisconsin,74%,26%
Texas,74%,26%
Arkansas,75%,25%
Rhode Island,65%,35%
Georgia,73%,27%
West Virginia,74%,26%
New Mexico,84%,16%
Idaho,74%,26%
Michigan,72%,28%
Nebraska,61%,39%
Oklahoma,67%,33%
Hawaii,65%,35%
Kentucky,59%,41%
Maryland,69%,31%
Arizona,66%,34%
South Carolina,72%,28%
Louisiana,62%,38%
Missouri,70%,30%
Alaska,100%,
Colorado,52%,48%
Utah,61%,39%
New Hampshire,61%,39%
