Kategorie: Alle Kategorien

Region,Donald Trump: (28.03.16 bis 28.03.16),Hillary Clinton: (28.03.16 bis 28.03.16)
Rhode Island,73%,27%
Idaho,82%,18%
Wisconsin,54%,46%
New Hampshire,89%,11%
Wyoming,100%,
District of Columbia,68%,32%
New Jersey,78%,22%
Massachusetts,77%,23%
Pennsylvania,74%,26%
Alaska,55%,45%
New York,72%,28%
Connecticut,74%,26%
Kentucky,76%,24%
Delaware,62%,38%
Minnesota,81%,19%
Utah,78%,22%
Indiana,85%,15%
West Virginia,100%,
Maryland,78%,22%
Washington,67%,33%
Florida,79%,21%
Montana,83%,17%
Illinois,72%,28%
North Dakota,79%,21%
Arizona,77%,23%
Georgia,75%,25%
Nevada,79%,21%
Virginia,70%,30%
North Carolina,76%,24%
Colorado,78%,22%
Missouri,76%,24%
Hawaii,75%,25%
Mississippi,81%,19%
Michigan,75%,25%
Maine,74%,26%
Ohio,72%,28%
Iowa,81%,19%
Texas,77%,23%
California,69%,31%
Oregon,59%,41%
Alabama,81%,19%
Nebraska,90%,10%
Kansas,77%,23%
Oklahoma,77%,23%
Tennessee,74%,26%
Louisiana,77%,23%
Vermont,64%,36%
Arkansas,62%,38%
South Carolina,73%,27%
New Mexico,70%,30%
South Dakota,100%,
