Kategorie: Alle Kategorien

Region,Donald Trump: (31.08.16 bis 31.08.16),Hillary Clinton: (31.08.16 bis 31.08.16)
Arizona,73%,27%
Washington,72%,28%
Nevada,68%,32%
Connecticut,66%,34%
South Dakota,48%,52%
Louisiana,70%,30%
California,70%,30%
New Hampshire,66%,34%
Massachusetts,69%,31%
New Jersey,70%,30%
Ohio,65%,35%
Mississippi,78%,22%
Minnesota,71%,29%
Texas,71%,29%
Vermont,56%,44%
Nebraska,65%,35%
New York,65%,35%
Rhode Island,74%,26%
Maryland,64%,36%
Illinois,72%,28%
Florida,63%,37%
Kansas,58%,42%
Georgia,69%,31%
Wisconsin,66%,34%
Virginia,69%,31%
Alaska,56%,44%
Arkansas,66%,34%
North Carolina,70%,30%
Delaware,68%,32%
District of Columbia,56%,44%
Tennessee,68%,32%
Pennsylvania,56%,44%
Oregon,57%,43%
South Carolina,60%,40%
Kentucky,65%,35%
Alabama,68%,32%
Maine,54%,46%
West Virginia,72%,28%
Colorado,63%,37%
Utah,73%,27%
Missouri,62%,38%
Indiana,60%,40%
Montana,61%,39%
Iowa,47%,53%
Oklahoma,58%,42%
Michigan,59%,41%
New Mexico,51%,49%
North Dakota,51%,49%
Idaho,54%,46%
Wyoming,,100%
Hawaii,41%,59%
