Kategorie: Alle Kategorien

Region,Donald Trump: (30.08.16 bis 30.08.16),Hillary Clinton: (30.08.16 bis 30.08.16)
Vermont,100%,
West Virginia,75%,25%
Alaska,34%,66%
Washington,72%,28%
Delaware,60%,40%
Hawaii,66%,34%
Arizona,61%,39%
New Mexico,65%,35%
Rhode Island,53%,47%
District of Columbia,57%,43%
Virginia,58%,42%
Wyoming,51%,49%
Missouri,66%,34%
Pennsylvania,60%,40%
Michigan,65%,35%
New Jersey,58%,42%
Florida,59%,41%
Oregon,63%,37%
Ohio,54%,46%
California,63%,37%
Minnesota,46%,54%
Idaho,45%,55%
Connecticut,66%,34%
Georgia,59%,41%
Massachusetts,57%,43%
North Carolina,62%,38%
Kentucky,66%,34%
North Dakota,63%,37%
Indiana,53%,47%
Montana,51%,49%
Mississippi,69%,31%
New York,57%,43%
New Hampshire,51%,49%
Nevada,48%,52%
Arkansas,60%,40%
South Carolina,61%,39%
Alabama,57%,43%
Colorado,59%,41%
Iowa,55%,45%
Wisconsin,55%,45%
Texas,62%,38%
Oklahoma,55%,45%
Maryland,49%,51%
Tennessee,59%,41%
Maine,51%,49%
Louisiana,63%,37%
South Dakota,,100%
Nebraska,46%,54%
Illinois,56%,44%
Utah,46%,54%
Kansas,46%,54%
