Kategorie: Alle Kategorien

Region,Donald Trump: (25.04.16 bis 25.04.16),Hillary Clinton: (25.04.16 bis 25.04.16)
Rhode Island,82%,18%
Pennsylvania,72%,28%
Delaware,60%,40%
Indiana,70%,30%
Connecticut,61%,39%
New Hampshire,68%,32%
Maryland,66%,34%
New Jersey,71%,29%
Nebraska,73%,27%
Nevada,77%,23%
Massachusetts,70%,30%
Alabama,74%,26%
Vermont,56%,44%
Virginia,73%,27%
New York,65%,35%
District of Columbia,60%,40%
Wyoming,58%,42%
South Dakota,61%,39%
Mississippi,86%,14%
Kentucky,72%,28%
West Virginia,73%,27%
New Mexico,82%,18%
Florida,73%,27%
Alaska,64%,36%
Oregon,69%,31%
California,70%,30%
Michigan,68%,32%
Arizona,72%,28%
Kansas,74%,26%
Texas,76%,24%
Illinois,72%,28%
Montana,100%,
North Carolina,74%,26%
Georgia,71%,29%
North Dakota,57%,43%
Minnesota,61%,39%
Wisconsin,70%,30%
Maine,63%,37%
Washington,70%,30%
Utah,75%,25%
Ohio,71%,29%
South Carolina,72%,28%
Missouri,67%,33%
Tennessee,71%,29%
Colorado,66%,34%
Oklahoma,79%,21%
Iowa,74%,26%
Louisiana,76%,24%
Hawaii,79%,21%
Idaho,76%,24%
Arkansas,58%,42%
