Kategorie: Alle Kategorien

Region,Donald Trump: (04.04.16 bis 04.04.16),Hillary Clinton: (04.04.16 bis 04.04.16)
Wisconsin,74%,26%
Delaware,78%,22%
Minnesota,80%,20%
Nevada,84%,16%
Idaho,72%,28%
West Virginia,69%,31%
New York,68%,32%
New Jersey,75%,25%
Maine,67%,33%
Wyoming,51%,49%
Connecticut,78%,22%
Vermont,48%,52%
Illinois,77%,23%
South Carolina,75%,25%
California,75%,25%
Massachusetts,74%,26%
New Hampshire,89%,11%
Maryland,71%,29%
Florida,78%,22%
Oklahoma,85%,15%
Washington,73%,27%
District of Columbia,62%,38%
Pennsylvania,65%,35%
Arizona,75%,25%
Ohio,73%,27%
Michigan,73%,27%
Kansas,79%,21%
Tennessee,75%,25%
Alabama,71%,29%
Kentucky,77%,23%
Louisiana,80%,20%
South Dakota,76%,24%
Missouri,79%,21%
Mississippi,73%,27%
Indiana,78%,22%
Texas,75%,25%
North Dakota,100%,
Nebraska,62%,38%
Virginia,74%,26%
Utah,70%,30%
North Carolina,73%,27%
Rhode Island,54%,46%
Georgia,72%,28%
Montana,100%,
Colorado,68%,32%
Arkansas,63%,37%
Oregon,73%,27%
Iowa,53%,47%
Hawaii,63%,37%
New Mexico,62%,38%
Alaska,100%,
