Kategorie: Alle Kategorien

Region,Donald Trump: (06.04.16 bis 06.04.16),Hillary Clinton: (06.04.16 bis 06.04.16)
Wisconsin,70%,30%
New York,69%,31%
Rhode Island,71%,29%
Vermont,49%,51%
New Jersey,70%,30%
Massachusetts,71%,29%
Delaware,100%,
Nevada,73%,27%
New Hampshire,71%,29%
Indiana,71%,29%
Alabama,81%,19%
New Mexico,61%,39%
Nebraska,71%,29%
Pennsylvania,61%,39%
Utah,82%,18%
Arizona,72%,28%
California,70%,30%
Florida,74%,26%
Virginia,74%,26%
Minnesota,71%,29%
Connecticut,60%,40%
Maryland,65%,35%
District of Columbia,51%,49%
North Carolina,73%,27%
Washington,64%,36%
Illinois,68%,32%
Georgia,75%,25%
Louisiana,74%,26%
Michigan,69%,31%
Ohio,70%,30%
South Carolina,74%,26%
Missouri,70%,30%
Colorado,63%,37%
Arkansas,73%,27%
Tennessee,75%,25%
Texas,76%,24%
Oklahoma,64%,36%
Mississippi,74%,26%
Maine,56%,44%
Hawaii,68%,32%
Iowa,76%,24%
Oregon,57%,43%
Alaska,41%,59%
Montana,65%,35%
South Dakota,56%,44%
North Dakota,76%,24%
Idaho,80%,20%
Kentucky,68%,32%
Kansas,59%,41%
Wyoming,41%,59%
West Virginia,58%,42%
