Kategorie: Alle Kategorien

Region,Donald Trump: (23.01.16 bis 23.01.16),Hillary Clinton: (23.01.16 bis 23.01.16)
North Dakota,80%,20%
Alaska,76%,24%
Mississippi,82%,18%
Iowa,53%,47%
Vermont,64%,36%
Oklahoma,78%,22%
Maine,61%,39%
Washington,72%,28%
South Carolina,78%,22%
South Dakota,56%,44%
Delaware,79%,21%
Massachusetts,78%,22%
New Hampshire,51%,49%
Wyoming,,100%
Nebraska,63%,37%
Alabama,75%,25%
Colorado,80%,20%
Michigan,72%,28%
Nevada,58%,42%
District of Columbia,63%,37%
New Mexico,78%,22%
Rhode Island,55%,45%
Ohio,77%,23%
Minnesota,76%,24%
New York,74%,26%
Maryland,74%,26%
Arizona,82%,18%
Louisiana,81%,19%
New Jersey,70%,30%
Tennessee,88%,12%
Illinois,74%,26%
Georgia,74%,26%
Missouri,68%,32%
Indiana,82%,18%
California,72%,28%
Kentucky,72%,28%
Texas,71%,29%
Utah,74%,26%
Virginia,80%,20%
Oregon,72%,28%
Arkansas,59%,41%
North Carolina,76%,24%
Pennsylvania,71%,29%
West Virginia,68%,32%
Kansas,65%,35%
Florida,72%,28%
Connecticut,61%,39%
Hawaii,68%,32%
Wisconsin,84%,16%
Idaho,44%,56%
Montana,51%,49%
