Kategorie: Alle Kategorien

Region,Donald Trump: (16.09.16 bis 16.09.16),Hillary Clinton: (16.09.16 bis 16.09.16)
District of Columbia,63%,37%
North Dakota,65%,35%
Delaware,38%,62%
South Dakota,67%,33%
Oklahoma,55%,45%
New Mexico,61%,39%
West Virginia,37%,63%
Florida,56%,44%
Wyoming,,100%
New York,51%,49%
New Jersey,47%,53%
Pennsylvania,52%,48%
Massachusetts,42%,58%
Louisiana,52%,48%
Nebraska,42%,58%
Colorado,60%,40%
Vermont,42%,58%
Virginia,47%,53%
Alabama,44%,56%
Ohio,52%,48%
North Carolina,53%,47%
Missouri,50%,50%
Connecticut,51%,49%
Kentucky,52%,48%
Arkansas,52%,48%
Montana,40%,60%
Illinois,55%,45%
New Hampshire,50%,50%
Minnesota,52%,48%
California,54%,46%
Maryland,53%,47%
Wisconsin,57%,43%
Utah,43%,57%
Iowa,44%,56%
South Carolina,55%,45%
Idaho,35%,65%
Michigan,52%,48%
Rhode Island,52%,48%
Mississippi,36%,64%
Tennessee,51%,49%
Georgia,52%,48%
Washington,53%,47%
Arizona,51%,49%
Maine,33%,67%
Indiana,48%,52%
Texas,53%,47%
Kansas,37%,63%
Alaska,55%,45%
Hawaii,52%,48%
Nevada,54%,46%
Oregon,47%,53%
