Kategorie: Alle Kategorien

Region,Donald Trump: (13.06.16 bis 13.06.16),Hillary Clinton: (13.06.16 bis 13.06.16)
New Hampshire,74%,26%
New Jersey,71%,29%
Delaware,75%,25%
Vermont,73%,27%
Nevada,68%,32%
District of Columbia,59%,41%
Connecticut,72%,28%
New York,69%,31%
Florida,74%,26%
Idaho,81%,19%
Rhode Island,74%,26%
Maryland,64%,36%
Massachusetts,72%,28%
Minnesota,69%,31%
California,67%,33%
North Carolina,73%,27%
Washington,67%,33%
Louisiana,72%,28%
Michigan,68%,32%
Virginia,70%,30%
South Carolina,77%,23%
Montana,73%,27%
Maine,77%,23%
Arizona,75%,25%
Illinois,68%,32%
Pennsylvania,69%,31%
Colorado,72%,28%
Oregon,64%,36%
Tennessee,67%,33%
Alaska,39%,61%
Georgia,72%,28%
Indiana,66%,34%
West Virginia,63%,37%
Iowa,65%,35%
Ohio,63%,37%
Kansas,63%,37%
Missouri,65%,35%
Arkansas,61%,39%
Texas,67%,33%
Wisconsin,71%,29%
Hawaii,70%,30%
North Dakota,76%,24%
Oklahoma,64%,36%
Nebraska,61%,39%
Utah,69%,31%
Alabama,60%,40%
Mississippi,61%,39%
Kentucky,59%,41%
New Mexico,51%,49%
Wyoming,100%,
South Dakota,68%,32%
