Kategorie: Alle Kategorien

Region,Donald Trump: (22.02.16 bis 22.02.16),Hillary Clinton: (22.02.16 bis 22.02.16)
South Carolina,77%,23%
Wyoming,100%,
Nevada,71%,29%
Maine,78%,22%
Idaho,70%,30%
New Jersey,77%,23%
Georgia,76%,24%
Rhode Island,70%,30%
Indiana,82%,18%
Delaware,76%,24%
Iowa,69%,31%
Connecticut,82%,18%
Alabama,79%,21%
Virginia,70%,30%
North Dakota,71%,29%
Pennsylvania,70%,30%
New Mexico,65%,35%
New Hampshire,78%,22%
Massachusetts,69%,31%
New York,70%,30%
Kentucky,85%,15%
Michigan,77%,23%
District of Columbia,60%,40%
Florida,77%,23%
Arizona,75%,25%
Nebraska,80%,20%
Mississippi,77%,23%
Arkansas,79%,21%
South Dakota,81%,19%
Maryland,72%,28%
Illinois,75%,25%
Oklahoma,74%,26%
California,71%,29%
Washington,68%,32%
Tennessee,74%,26%
Minnesota,72%,28%
Colorado,79%,21%
Kansas,71%,29%
Wisconsin,82%,18%
Texas,75%,25%
Missouri,74%,26%
North Carolina,74%,26%
Ohio,71%,29%
Oregon,71%,29%
Vermont,56%,44%
Louisiana,69%,31%
West Virginia,72%,28%
Hawaii,82%,18%
Utah,67%,33%
Alaska,73%,27%
Montana,57%,43%
