Kategorie: Alle Kategorien

Region,Donald Trump: (15.12.15 bis 15.12.15),Hillary Clinton: (15.12.15 bis 15.12.15)
Maine,90%,10%
Connecticut,90%,10%
Delaware,83%,17%
Wyoming,100%,
Michigan,94%,6%
Rhode Island,87%,13%
Oklahoma,85%,15%
New Hampshire,78%,22%
Maryland,84%,16%
Nevada,90%,10%
Vermont,57%,43%
Wisconsin,88%,12%
New York,86%,14%
Virginia,86%,14%
Washington,89%,11%
California,86%,14%
Pennsylvania,90%,10%
Florida,83%,17%
North Dakota,100%,
Massachusetts,75%,25%
Illinois,83%,17%
Georgia,86%,14%
Arizona,93%,7%
District of Columbia,75%,25%
New Jersey,89%,11%
Minnesota,61%,39%
South Carolina,81%,19%
Ohio,90%,10%
Oregon,88%,12%
Mississippi,78%,22%
North Carolina,82%,18%
West Virginia,100%,
Tennessee,86%,14%
Iowa,82%,18%
Utah,90%,10%
Alabama,75%,25%
Nebraska,100%,
Texas,83%,17%
New Mexico,79%,21%
Missouri,81%,19%
Colorado,89%,11%
Idaho,39%,61%
Hawaii,76%,24%
Montana,68%,32%
Louisiana,88%,12%
Indiana,81%,19%
Arkansas,59%,41%
Kentucky,51%,49%
Kansas,100%,
Alaska,51%,49%
South Dakota,52%,48%
