Kategorie: Alle Kategorien

Region,Donald Trump: (23.12.15 bis 23.12.15),Hillary Clinton: (23.12.15 bis 23.12.15)
Wyoming,85%,15%
New Hampshire,90%,10%
Delaware,81%,19%
Iowa,69%,31%
North Dakota,65%,35%
Maine,75%,25%
Rhode Island,73%,27%
Oregon,85%,15%
Mississippi,90%,10%
Arkansas,82%,18%
Kentucky,77%,23%
Maryland,72%,28%
Nevada,80%,20%
Washington,75%,25%
Ohio,73%,27%
Connecticut,77%,23%
Illinois,77%,23%
New York,73%,27%
Massachusetts,71%,29%
Michigan,80%,20%
District of Columbia,80%,20%
New Jersey,78%,22%
Arizona,78%,22%
Pennsylvania,73%,27%
Indiana,77%,23%
Tennessee,76%,24%
New Mexico,59%,41%
Florida,78%,22%
Virginia,79%,21%
North Carolina,77%,23%
Minnesota,73%,27%
Georgia,72%,28%
Wisconsin,72%,28%
California,79%,21%
Missouri,74%,26%
Alaska,57%,43%
Alabama,62%,38%
Colorado,76%,24%
Nebraska,66%,34%
Oklahoma,78%,22%
Utah,77%,23%
Texas,77%,23%
South Carolina,67%,33%
Idaho,83%,17%
Hawaii,81%,19%
West Virginia,55%,45%
Vermont,100%,
South Dakota,51%,49%
Montana,61%,39%
Kansas,71%,29%
Louisiana,58%,42%
