Kategorie: Alle Kategorien

Region,Donald Trump: (16.01.16 bis 16.01.16),Hillary Clinton: (16.01.16 bis 16.01.16)
New Hampshire,79%,21%
Delaware,100%,
Iowa,80%,20%
Vermont,65%,35%
Massachusetts,73%,27%
Alaska,76%,24%
Rhode Island,100%,
Connecticut,82%,18%
New Jersey,78%,22%
District of Columbia,85%,15%
New York,71%,29%
Virginia,75%,25%
North Dakota,64%,36%
North Carolina,77%,23%
Montana,61%,39%
Michigan,74%,26%
Illinois,80%,20%
Florida,79%,21%
Wyoming,61%,39%
West Virginia,61%,39%
Pennsylvania,76%,24%
Indiana,77%,23%
Colorado,75%,25%
New Mexico,80%,20%
Arizona,66%,34%
California,75%,25%
Wisconsin,73%,27%
Maine,51%,49%
Tennessee,75%,25%
Maryland,70%,30%
Ohio,72%,28%
South Carolina,69%,31%
Missouri,84%,16%
Nebraska,75%,25%
Georgia,74%,26%
Minnesota,69%,31%
Oklahoma,75%,25%
Arkansas,59%,41%
Kentucky,73%,27%
Nevada,77%,23%
South Dakota,68%,32%
Utah,78%,22%
Kansas,85%,15%
Oregon,70%,30%
Mississippi,84%,16%
Texas,74%,26%
Louisiana,82%,18%
Washington,70%,30%
Alabama,75%,25%
Idaho,47%,53%
Hawaii,41%,59%
