Kategorie: Alle Kategorien

Region,Donald Trump: (17.06.16 bis 17.06.16),Hillary Clinton: (17.06.16 bis 17.06.16)
Texas,81%,19%
Colorado,73%,27%
Vermont,34%,66%
Nevada,71%,29%
Washington,75%,25%
Hawaii,73%,27%
North Dakota,61%,39%
Louisiana,73%,27%
Pennsylvania,72%,28%
New Jersey,65%,35%
Missouri,76%,24%
South Dakota,41%,59%
New York,70%,30%
California,67%,33%
Mississippi,69%,31%
Massachusetts,68%,32%
District of Columbia,57%,43%
Montana,43%,57%
Florida,73%,27%
Connecticut,66%,34%
Arkansas,79%,21%
Rhode Island,54%,46%
Virginia,74%,26%
Oregon,62%,38%
Illinois,69%,31%
Iowa,67%,33%
Oklahoma,78%,22%
Minnesota,65%,35%
Maryland,75%,25%
Indiana,77%,23%
North Carolina,76%,24%
Arizona,65%,35%
Nebraska,66%,34%
Michigan,66%,34%
Maine,54%,46%
Tennessee,65%,35%
Wyoming,41%,59%
Georgia,68%,32%
New Mexico,66%,34%
Kansas,62%,38%
Kentucky,61%,39%
Ohio,62%,38%
Alaska,58%,42%
Utah,50%,50%
New Hampshire,44%,56%
West Virginia,65%,35%
Idaho,58%,42%
Alabama,78%,22%
South Carolina,72%,28%
Wisconsin,67%,33%
Delaware,,100%
