Kategorie: Alle Kategorien

Region,Donald Trump: (22.12.15 bis 22.12.15),Hillary Clinton: (22.12.15 bis 22.12.15)
Mississippi,80%,20%
North Dakota,81%,19%
Nebraska,78%,22%
Montana,84%,16%
Maine,56%,44%
South Carolina,87%,13%
Maryland,78%,22%
Michigan,81%,19%
New Jersey,75%,25%
Delaware,65%,35%
Rhode Island,68%,32%
Massachusetts,73%,27%
Connecticut,82%,18%
Louisiana,91%,9%
New York,76%,24%
Missouri,81%,19%
Vermont,47%,53%
Florida,81%,19%
Oregon,66%,34%
Ohio,80%,20%
District of Columbia,78%,22%
Washington,83%,17%
Nevada,74%,26%
Iowa,62%,38%
Arkansas,69%,31%
Pennsylvania,75%,25%
Georgia,80%,20%
Kentucky,86%,14%
Tennessee,75%,25%
Oklahoma,84%,16%
North Carolina,67%,33%
Wisconsin,75%,25%
Arizona,75%,25%
Colorado,77%,23%
Hawaii,84%,16%
Illinois,74%,26%
Minnesota,77%,23%
California,77%,23%
Virginia,67%,33%
Utah,70%,30%
Texas,76%,24%
New Mexico,55%,45%
West Virginia,40%,60%
Indiana,67%,33%
Alabama,59%,41%
New Hampshire,76%,24%
Idaho,65%,35%
Wyoming,51%,49%
Alaska,100%,
Kansas,87%,13%
South Dakota,100%,
