Kategorie: Alle Kategorien

Region,Donald Trump: (10.12.15 bis 10.12.15),Hillary Clinton: (10.12.15 bis 10.12.15)
Rhode Island,94%,6%
Maine,94%,6%
Nevada,98%,2%
New Hampshire,93%,7%
Massachusetts,89%,11%
Montana,100%,
Alaska,100%,
Washington,96%,4%
Connecticut,98%,2%
Pennsylvania,92%,8%
Vermont,85%,15%
New York,93%,7%
Kentucky,93%,7%
New Jersey,93%,7%
District of Columbia,86%,14%
Wyoming,100%,
Colorado,93%,7%
Virginia,87%,13%
Tennessee,88%,12%
Illinois,91%,9%
California,93%,7%
Georgia,95%,5%
Oklahoma,87%,13%
Oregon,88%,12%
North Dakota,100%,
Minnesota,90%,10%
Ohio,92%,8%
Arizona,94%,6%
Wisconsin,88%,12%
Missouri,93%,7%
Maryland,95%,5%
Mississippi,86%,14%
Michigan,91%,9%
Indiana,95%,5%
Texas,94%,6%
South Carolina,89%,11%
Florida,92%,8%
Idaho,91%,9%
Nebraska,90%,10%
North Carolina,91%,9%
Iowa,85%,15%
Utah,92%,8%
Arkansas,90%,10%
Louisiana,85%,15%
Alabama,94%,6%
Delaware,77%,23%
Hawaii,100%,
New Mexico,100%,
South Dakota,74%,26%
Kansas,93%,7%
West Virginia,48%,52%
