Kategorie: Alle Kategorien

Region,Donald Trump: (27.12.15 bis 27.12.15),Hillary Clinton: (27.12.15 bis 27.12.15)
Wyoming,100%,
New Hampshire,58%,42%
Vermont,66%,34%
Delaware,,100%
Alaska,100%,
Maryland,85%,15%
West Virginia,73%,27%
Arkansas,84%,16%
Nevada,80%,20%
Minnesota,83%,17%
Kentucky,82%,18%
New York,75%,25%
Louisiana,86%,14%
Mississippi,100%,
Florida,75%,25%
Tennessee,85%,15%
Oregon,77%,23%
Connecticut,69%,31%
Michigan,80%,20%
Ohio,71%,29%
California,71%,29%
Virginia,73%,27%
Massachusetts,70%,30%
South Carolina,86%,14%
Illinois,77%,23%
South Dakota,51%,49%
Idaho,72%,28%
Arizona,85%,15%
North Dakota,,100%
Indiana,73%,27%
Georgia,84%,16%
Pennsylvania,68%,32%
Maine,68%,32%
New Jersey,75%,25%
Texas,74%,26%
North Carolina,76%,24%
Nebraska,76%,24%
Washington,73%,27%
District of Columbia,74%,26%
Colorado,78%,22%
Oklahoma,61%,39%
Utah,76%,24%
Montana,,100%
Missouri,79%,21%
Alabama,55%,45%
New Mexico,61%,39%
Iowa,72%,28%
Rhode Island,100%,
Hawaii,100%,
Kansas,83%,17%
Wisconsin,51%,49%
