Kategorie: Alle Kategorien

Region,Donald Trump: (30.06.16 bis 30.06.16),Hillary Clinton: (30.06.16 bis 30.06.16)
North Dakota,62%,38%
Maine,74%,26%
Massachusetts,60%,40%
New Mexico,74%,26%
Nevada,71%,29%
Arizona,64%,36%
District of Columbia,51%,49%
Missouri,75%,25%
Connecticut,63%,37%
Minnesota,61%,39%
South Dakota,29%,71%
New Jersey,65%,35%
New York,61%,39%
Tennessee,73%,27%
Vermont,58%,42%
Virginia,60%,40%
Delaware,100%,
Arkansas,40%,60%
West Virginia,43%,57%
California,64%,36%
Alabama,55%,45%
Colorado,56%,44%
Washington,61%,39%
Pennsylvania,63%,37%
Oklahoma,77%,23%
Rhode Island,54%,46%
Ohio,63%,37%
Michigan,56%,44%
Florida,61%,39%
Illinois,65%,35%
Georgia,63%,37%
Alaska,50%,50%
Mississippi,48%,52%
Oregon,56%,44%
New Hampshire,43%,57%
Louisiana,70%,30%
Maryland,64%,36%
North Carolina,59%,41%
Kentucky,62%,38%
Texas,66%,34%
Iowa,51%,49%
Wisconsin,61%,39%
Hawaii,62%,38%
Utah,58%,42%
South Carolina,55%,45%
Idaho,54%,46%
Nebraska,72%,28%
Kansas,63%,37%
Wyoming,51%,49%
Indiana,62%,38%
Montana,61%,39%
