Kategorie: Alle Kategorien

Region,Donald Trump: (24.04.16 bis 24.04.16),Hillary Clinton: (24.04.16 bis 24.04.16)
Rhode Island,74%,26%
Delaware,76%,24%
Pennsylvania,71%,29%
West Virginia,80%,20%
District of Columbia,81%,19%
Connecticut,50%,50%
Maryland,73%,27%
North Dakota,100%,
Indiana,72%,28%
New Jersey,70%,30%
Vermont,45%,55%
Louisiana,88%,12%
New York,63%,37%
Montana,68%,32%
Maine,68%,32%
Tennessee,73%,27%
Minnesota,77%,23%
Alaska,51%,49%
Massachusetts,59%,41%
California,69%,31%
Wisconsin,75%,25%
Georgia,77%,23%
Virginia,64%,36%
Kansas,84%,16%
Florida,71%,29%
South Carolina,78%,22%
Arizona,67%,33%
Kentucky,74%,26%
Oregon,67%,33%
Utah,81%,19%
New Hampshire,55%,45%
Colorado,68%,32%
Nebraska,53%,47%
Mississippi,72%,28%
Missouri,61%,39%
Ohio,74%,26%
Oklahoma,66%,34%
Texas,74%,26%
Idaho,79%,21%
Michigan,62%,38%
Illinois,74%,26%
Washington,57%,43%
Alabama,68%,32%
South Dakota,40%,60%
Nevada,68%,32%
Arkansas,70%,30%
North Carolina,67%,33%
Wyoming,51%,49%
Iowa,60%,40%
New Mexico,56%,44%
Hawaii,63%,37%
