Kategorie: Alle Kategorien

Region,Donald Trump: (19.11.15 bis 19.11.15),Hillary Clinton: (19.11.15 bis 19.11.15)
Massachusetts,91%,9%
Vermont,68%,32%
South Dakota,34%,66%
Nebraska,89%,11%
Connecticut,70%,30%
Maine,68%,32%
Indiana,81%,19%
Ohio,77%,23%
District of Columbia,65%,35%
Virginia,78%,22%
Alaska,67%,33%
Rhode Island,79%,21%
Utah,89%,11%
Missouri,71%,29%
Alabama,77%,23%
New Jersey,74%,26%
Wisconsin,76%,24%
New Hampshire,61%,39%
New York,76%,24%
Pennsylvania,74%,26%
Florida,77%,23%
Iowa,55%,45%
Montana,68%,32%
Washington,59%,41%
South Carolina,66%,34%
West Virginia,72%,28%
North Dakota,61%,39%
Illinois,76%,24%
Wyoming,100%,
Minnesota,82%,18%
North Carolina,81%,19%
Georgia,73%,27%
Delaware,100%,
Tennessee,52%,48%
California,74%,26%
Texas,76%,24%
Kansas,83%,17%
Louisiana,74%,26%
Kentucky,74%,26%
Oregon,76%,24%
Arizona,70%,30%
Colorado,69%,31%
Arkansas,65%,35%
Michigan,75%,25%
New Mexico,68%,32%
Oklahoma,55%,45%
Nevada,55%,45%
Maryland,47%,53%
Mississippi,52%,48%
Hawaii,51%,49%
Idaho,51%,49%
