Kategorie: Alle Kategorien

Region,Donald Trump: (02.01.16 bis 02.01.16),Hillary Clinton: (02.01.16 bis 02.01.16)
Mississippi,92%,8%
Wyoming,76%,24%
Vermont,61%,39%
New Hampshire,60%,40%
Rhode Island,80%,20%
Massachusetts,74%,26%
Maine,100%,
Alaska,100%,
Louisiana,92%,8%
District of Columbia,69%,31%
Virginia,89%,11%
New York,80%,20%
South Dakota,100%,
Indiana,79%,21%
Nevada,90%,10%
Alabama,80%,20%
New Jersey,75%,25%
California,81%,19%
Connecticut,79%,21%
Arizona,71%,29%
Delaware,68%,32%
Florida,82%,18%
Utah,69%,31%
New Mexico,65%,35%
Tennessee,72%,28%
Kentucky,89%,11%
Michigan,78%,22%
Georgia,83%,17%
Minnesota,80%,20%
Washington,77%,23%
Ohio,85%,15%
Maryland,80%,20%
Nebraska,79%,21%
Illinois,80%,20%
Texas,82%,18%
Iowa,61%,39%
Missouri,71%,29%
Oklahoma,100%,
Wisconsin,70%,30%
Pennsylvania,85%,15%
South Carolina,100%,
North Dakota,51%,49%
North Carolina,73%,27%
Oregon,89%,11%
Kansas,83%,17%
Hawaii,68%,32%
Montana,51%,49%
Colorado,76%,24%
Arkansas,57%,43%
Idaho,100%,
West Virginia,100%,
