Kategorie: Alle Kategorien

Region,Donald Trump: (19.12.15 bis 19.12.15),Hillary Clinton: (19.12.15 bis 19.12.15)
Montana,100%,
New Hampshire,86%,14%
North Dakota,100%,
Delaware,100%,
New Mexico,100%,
Rhode Island,100%,
Vermont,68%,32%
Wyoming,100%,
New Jersey,83%,17%
Kentucky,69%,31%
Wisconsin,85%,15%
Pennsylvania,85%,15%
Nebraska,86%,14%
Alaska,68%,32%
New York,80%,20%
Massachusetts,80%,20%
Michigan,90%,10%
Idaho,100%,
Indiana,82%,18%
Oklahoma,81%,19%
Ohio,71%,29%
Colorado,77%,23%
Maryland,79%,21%
Georgia,87%,13%
Virginia,90%,10%
Illinois,79%,21%
California,84%,16%
Oregon,68%,32%
Florida,81%,19%
District of Columbia,76%,24%
Washington,82%,18%
West Virginia,68%,32%
Hawaii,100%,
Connecticut,83%,17%
Arizona,82%,18%
Minnesota,82%,18%
Alabama,72%,28%
Tennessee,78%,22%
Texas,80%,20%
Nevada,70%,30%
South Carolina,59%,41%
South Dakota,51%,49%
Missouri,69%,31%
Utah,83%,17%
Maine,51%,49%
Iowa,68%,32%
North Carolina,79%,21%
Louisiana,81%,19%
Arkansas,100%,
Mississippi,68%,32%
Kansas,82%,18%
