Kategorie: Alle Kategorien

Region,Donald Trump: (23.09.16 bis 23.09.16),Hillary Clinton: (23.09.16 bis 23.09.16)
Montana,64%,36%
District of Columbia,54%,46%
Connecticut,59%,41%
New Hampshire,55%,45%
Nebraska,38%,62%
Pennsylvania,48%,52%
Vermont,36%,64%
Virginia,45%,55%
Rhode Island,56%,44%
New Jersey,53%,47%
New York,48%,52%
Delaware,18%,82%
Maryland,53%,47%
Kansas,36%,64%
Arkansas,45%,55%
North Dakota,41%,59%
North Carolina,50%,50%
Indiana,43%,57%
Iowa,67%,33%
Massachusetts,45%,55%
Louisiana,53%,47%
Ohio,52%,48%
Mississippi,47%,53%
Georgia,44%,56%
Florida,51%,49%
West Virginia,61%,39%
Oklahoma,52%,48%
Oregon,52%,48%
Nevada,59%,41%
Hawaii,38%,62%
South Carolina,43%,57%
Arizona,51%,49%
Wisconsin,46%,54%
California,48%,52%
Minnesota,51%,49%
Michigan,45%,55%
South Dakota,60%,40%
Alabama,50%,50%
Colorado,48%,52%
Wyoming,33%,67%
Kentucky,46%,54%
Illinois,51%,49%
Washington,50%,50%
Texas,48%,52%
New Mexico,52%,48%
Idaho,47%,53%
Tennessee,50%,50%
Utah,34%,66%
Missouri,46%,54%
Alaska,,100%
Maine,46%,54%
