Kategorie: Alle Kategorien

Region,Donald Trump: (23.02.16 bis 23.02.16),Hillary Clinton: (23.02.16 bis 23.02.16)
Nevada,73%,27%
North Dakota,81%,19%
South Carolina,68%,32%
Alabama,80%,20%
Vermont,46%,54%
Connecticut,81%,19%
Tennessee,83%,17%
Arkansas,76%,24%
Montana,81%,19%
District of Columbia,74%,26%
New Jersey,80%,20%
Virginia,74%,26%
New Hampshire,67%,33%
Massachusetts,71%,29%
Pennsylvania,78%,22%
West Virginia,74%,26%
Missouri,82%,18%
Maryland,75%,25%
North Carolina,83%,17%
Washington,79%,21%
Maine,80%,20%
New York,72%,28%
Georgia,77%,23%
Nebraska,72%,28%
Florida,79%,21%
Utah,85%,15%
Minnesota,73%,27%
California,73%,27%
Oklahoma,76%,24%
Illinois,72%,28%
New Mexico,66%,34%
Idaho,85%,15%
Texas,74%,26%
Mississippi,86%,14%
Delaware,76%,24%
Colorado,81%,19%
Arizona,75%,25%
Ohio,75%,25%
Michigan,70%,30%
Kentucky,80%,20%
Wisconsin,77%,23%
Indiana,76%,24%
Oregon,70%,30%
Alaska,100%,
Rhode Island,75%,25%
Iowa,74%,26%
Louisiana,84%,16%
Kansas,73%,27%
Hawaii,54%,46%
South Dakota,39%,61%
Wyoming,100%,
